2026-08-10 16:44:09.361 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - [TraceId: None] [UserId: None] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.campsync.college.CollegeAdminServiceApplicationTests], using SpringBootContextLoader
2026-08-10 16:44:09.370 [main] INFO  o.s.t.c.s.AbstractContextLoader - [TraceId: None] [UserId: None] - Could not detect default resource locations for test class [com.campsync.college.CollegeAdminServiceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2026-08-10 16:44:09.371 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - [TraceId: None] [UserId: None] - Could not detect default configuration classes for test class [com.campsync.college.CollegeAdminServiceApplicationTests]: CollegeAdminServiceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-08-10 16:44:09.563 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - [TraceId: None] [UserId: None] - Found @SpringBootConfiguration com.campsync.college.CollegeAdminServiceApplication for test class com.campsync.college.CollegeAdminServiceApplicationTests
2026-08-10 16:44:09.716 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - [TraceId: None] [UserId: None] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2026-08-10 16:44:09.740 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - [TraceId: None] [UserId: None] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@463fd068, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@895e367, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1b266842, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7a3793c7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@42b3b079, org.springframework.test.context.support.DirtiesContextTestExecutionListener@651aed93, org.springframework.test.context.event.EventPublishingTestExecutionListener@4dd6fd0a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@bb9e6dc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5456afaa, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6692b6c6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1cd629b3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@589da3f3, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@39d76cb5]
2026-08-10 16:44:10.399 [background-preinit] INFO  o.h.validator.internal.util.Version - [TraceId: None] [UserId: None] - HV000001: Hibernate Validator 6.2.5.Final
2026-08-10 16:44:10.411 [main] INFO  c.c.c.CollegeAdminServiceApplicationTests - [TraceId: None] [UserId: None] - Starting CollegeAdminServiceApplicationTests using Java 1.8.0_202 on Niranjan with PID 26968 (started by niran in D:\CampXSync\CampXSync\services\college-admin-service)
2026-08-10 16:44:10.411 [main] DEBUG c.c.c.CollegeAdminServiceApplicationTests - [TraceId: None] [UserId: None] - Running with Spring Boot v2.7.18, Spring v5.3.31
2026-08-10 16:44:10.412 [main] INFO  c.c.c.CollegeAdminServiceApplicationTests - [TraceId: None] [UserId: None] - No active profile set, falling back to 1 default profile: "default"
2026-08-10 16:44:12.141 [main] INFO  c.c.c.s.i.CollegeIdentityServiceImpl - [TraceId: None] [UserId: None] - Initialized CollegeIdentityServiceImpl with default user usr-101
