[2026-08-13T08:32:17.572Z] AUDIT [Trace: eb1000720b1a4fbf80a66ced2926369a] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: COLLEGE_CONFIG (inst-101:theme_color) | Status: SUCCESS | Msg: College configuration updated | Details: {newValue=#0055A5, institutionId=inst-101, key=theme_color}
[2026-08-13T08:32:17.660Z] AUDIT [Trace: eb1000720b1a4fbf80a66ced2926369a] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: USER_PROFILE (usr-ae7cfd46a92b475ead14cad1e1838137) | Status: SUCCESS | Msg: College user record created | Details: {profileType=student, institutionId=inst-101}
[2026-08-13T08:32:17.825Z] AUDIT [Trace: eb1000720b1a4fbf80a66ced2926369a] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: COLLEGE_ROLE (role-117e5be4229249d0a6a248774576494d) | Status: SUCCESS | Msg: Tenant custom role created | Details: {institutionId=inst-101, roleName=Department Head}
[2026-08-13T08:32:53.143Z] AUDIT [Trace: 877f585e32884623b59fc62630739834] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: COLLEGE_CONFIG (inst-101:theme_color) | Status: SUCCESS | Msg: College configuration updated | Details: {newValue=#0055A5, institutionId=inst-101, key=theme_color}
[2026-08-13T08:32:53.195Z] AUDIT [Trace: 877f585e32884623b59fc62630739834] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: USER_PROFILE (usr-0da4a172ce6e4ea39edb2c98170188b8) | Status: SUCCESS | Msg: College user record created | Details: {profileType=student, institutionId=inst-101}
[2026-08-13T08:32:53.279Z] AUDIT [Trace: 877f585e32884623b59fc62630739834] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: COLLEGE_ROLE (role-38cdd528e3ec407499641f219dc45919) | Status: SUCCESS | Msg: Tenant custom role created | Details: {institutionId=inst-101, roleName=Department Head}
[2026-08-13T09:24:04.090Z] AUDIT [Trace: 7116cce341ca4cf3b4555281fceb7816] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: COLLEGE_CONFIG (inst-101:theme_color) | Status: SUCCESS | Msg: College configuration updated | Details: {newValue=#0055A5, institutionId=inst-101, key=theme_color}
[2026-08-13T09:24:04.169Z] AUDIT [Trace: 7116cce341ca4cf3b4555281fceb7816] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: USER_PROFILE (usr-8b4b436ec1864ed681cb2afe405b709d) | Status: SUCCESS | Msg: College user record created | Details: {profileType=student, institutionId=inst-101}
[2026-08-13T09:24:04.318Z] AUDIT [Trace: 7116cce341ca4cf3b4555281fceb7816] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: COLLEGE_ROLE (role-b89a14ab9c8f49388466c6ec73b7167f) | Status: SUCCESS | Msg: Tenant custom role created | Details: {institutionId=inst-101, roleName=Department Head}
[2026-08-13T09:25:32.498Z] AUDIT [Trace: e0ca4116ced940adb13128a5ea852ff5] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: COLLEGE_CONFIG (inst-101:theme_color) | Status: SUCCESS | Msg: College configuration updated | Details: {newValue=#0055A5, institutionId=inst-101, key=theme_color}
[2026-08-13T09:25:32.570Z] AUDIT [Trace: e0ca4116ced940adb13128a5ea852ff5] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: USER_PROFILE (usr-35e9bc7145a4482c9023e2310a42713b) | Status: SUCCESS | Msg: College user record created | Details: {profileType=student, institutionId=inst-101}
[2026-08-13T09:25:32.678Z] AUDIT [Trace: e0ca4116ced940adb13128a5ea852ff5] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: COLLEGE_ROLE (role-8490c7014800479c91dae15b7e8f6547) | Status: SUCCESS | Msg: Tenant custom role created | Details: {institutionId=inst-101, roleName=Department Head}
