[2026-08-13T08:33:02.861Z] AUDIT [Trace: 74a1f55100ac468ebd78d00654cd087d] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: INSTITUTE (inst-207c8afc3ded41c4a4df25365db13f1c) | Status: SUCCESS | Msg: Institute provisioned successfully | Details: {subdomain=stanford, planId=plan-enterprise-plus}
[2026-08-13T08:33:03.180Z] AUDIT [Trace: 74a1f55100ac468ebd78d00654cd087d] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: PLATFORM_CONFIG (mfa_required) | Status: SUCCESS | Msg: Global platform config updated | Details: {newValue=false, previousValue=true}
[2026-08-13T08:33:03.242Z] AUDIT [Trace: 74a1f55100ac468ebd78d00654cd087d] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: PLATFORM_ROLE (role-98f2a9411f594f969ae5b7ec76fc22c7) | Status: SUCCESS | Msg: Platform role created | Details: {roleName=Support Ops Manager}
[2026-08-13T08:33:03.277Z] AUDIT [Trace: 74a1f55100ac468ebd78d00654cd087d] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: AUTHORIZE | Entity: ROLE_ASSIGNMENT (assign-4e4945e6ea38409b90ed3e18c47d074d) | Status: SUCCESS | Msg: Platform role granted to staff member | Details: {roleId=role-super-admin, staffId=staff-99}
[2026-08-13T08:33:03.307Z] AUDIT [Trace: 74a1f55100ac468ebd78d00654cd087d] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: AUTHORIZE | Entity: ROLE_ASSIGNMENT (assign-4fb19b529307419587d67c0db9a70e2a) | Status: SUCCESS | Msg: Platform role granted to staff member | Details: {roleId=role-super-admin, staffId=staff-revoke-test}
[2026-08-13T08:33:03.332Z] AUDIT [Trace: 74a1f55100ac468ebd78d00654cd087d] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: GOVERNANCE_POLICY (pol-0be1c107d31c4c798e69e5ecb5434de6) | Status: SUCCESS | Msg: Data governance policy created | Details: {policyName=Data Residency EU-Central, policyType=residency}
[2026-08-13T08:33:03.424Z] AUDIT [Trace: 74a1f55100ac468ebd78d00654cd087d] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: BILLING_ACCOUNT (inst-101) | Status: SUCCESS | Msg: Subscription plan updated | Details: {newPlanId=plan-enterprise-v2}
[2026-08-13T08:33:03.553Z] AUDIT [Trace: 74a1f55100ac468ebd78d00654cd087d] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: BILLING_ACCOUNT (inst-101) | Status: FAILURE | Msg: Settlement failed during plan change | Details: {targetPlanId=plan-invalid}
[2026-08-13T09:24:16.589Z] AUDIT [Trace: 69b5b8f0daf24935a26a8f8225627be9] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: INSTITUTE (inst-2520c136180449f29c5f5401a8885fa4) | Status: SUCCESS | Msg: Institute provisioned successfully | Details: {subdomain=stanford, planId=plan-enterprise-plus}
[2026-08-13T09:24:16.943Z] AUDIT [Trace: 69b5b8f0daf24935a26a8f8225627be9] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: PLATFORM_CONFIG (mfa_required) | Status: SUCCESS | Msg: Global platform config updated | Details: {newValue=false, previousValue=true}
[2026-08-13T09:24:16.992Z] AUDIT [Trace: 69b5b8f0daf24935a26a8f8225627be9] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: PLATFORM_ROLE (role-202b16eb97814b26ae4b9f8ea8295d7c) | Status: SUCCESS | Msg: Platform role created | Details: {roleName=Support Ops Manager}
